",Education,Income,Recency,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,Complain,Response,Age,Customer_Tenure_Days,total_spendings,Total_Children,Living_With"
"642,Postgraduate,62859.0,37,4,9,4,6,6,0,0,67,546,1307,1,Alone"
"643,Graduate,45906.0,20,2,5,4,4,5,0,0,62,418,486,1,Alone"
"644,Postgraduate,77632.0,73,1,4,2,6,2,0,1,79,476,2252,0,Partner"
"645,Postgraduate,46463.0,56,7,3,1,6,6,0,0,55,315,235,2,Partner"
"646,Graduate,105471.0,36,0,9,8,13,3,0,1,56,524,1724,0,Partner"
"647,Postgraduate,55282.0,9,1,3,1,6,4,0,0,56,198,235,1,Alone"
"648,Postgraduate,78710.0,42,3,7,6,12,4,0,0,49,37,1092,1,Partner"
"649,Graduate,66886.0,28,2,7,1,7,5,0,0,68,286,599,1,Partner"
"650,Postgraduate,98777.0,23,0,4,6,9,1,0,0,66,132,2008,0,Alone"
"651,Graduate,29103.0,38,2,1,0,3,9,0,0,41,671,48,1,Partner"
"652,Graduate,67445.0,63,5,9,6,12,6,0,0,52,686,1174,1,Partner"
"653,Postgraduate,50616.0,71,1,1,1,4,2,0,0,76,77,67,1,Partner"
"654,Graduate,49431.0,9,2,7,1,5,8,0,0,71,695,365,1,Alone"
"655,Graduate,153924.0,81,0,0,0,0,0,0,0,51,142,6,0,Alone"
"656,Graduate,61278.0,87,2,3,1,4,6,0,0,73,176,165,1,Partner"
"657,Undergraduate,26490.0,92,2,3,1,5,6,0,0,68,645,210,0,Partner"
"658,Postgraduate,73059.0,36,1,9,3,13,4,0,0,79,302,1095,1,Partner"
"659,Postgraduate,46734.0,86,4,3,2,3,6,0,0,60,251,223,3,Alone"
"660,Graduate,56253.0,83,4,7,2,9,6,0,0,63,569,597,1,Partner"
"661,Graduate,19986.0,74,1,0,0,3,7,0,0,41,227,22,1,Partner"
"662,Graduate,58330.0,87,1,6,4,13,4,0,0,51,186,1064,1,Alone"
"663,Undergraduate,25965.0,29,1,2,0,3,8,0,0,46,660,74,0,Partner"
"664,Postgraduate,14661.0,88,1,1,0,3,6,0,0,70,544,26,0,Partner"
"665,Graduate,18690.0,77,1,1,1,2,8,0,0,67,548,60,0,Partner"
"666,Postgraduate,45068.0,25,1,1,0,2,7,0,0,52,409,20,1,Partner"
"667,Undergraduate,21063.0,34,2,2,0,3,6,0,0,39,277,59,1,Alone"
"668,Postgraduate,29187.0,43,1,1,0,3,8,0,0,58,416,34,1,Partner"
"669,Undergraduate,54690.0,76,3,3,1,5,3,0,0,55,234,198,2,Partner"
"670,Postgraduate,59304.0,81,3,7,8,10,5,0,0,62,335,1048,1,Partner"
"671,Postgraduate,59247.0,87,5,5,2,9,6,0,0,64,233,574,2,Alone"
"672,Graduate,66731.0,33,4,4,3,6,3,0,0,56,655,1029,1,Alone"
"673,Graduate,77353.0,38,2,6,4,8,4,0,0,46,195,670,1,Partner"
"674,Postgraduate,52614.0,63,2,2,4,8,8,0,0,51,575,990,1,Alone"
"675,Graduate,26751.0,26,1,1,0,2,8,0,0,52,38,11,2,Partner"
"676,Postgraduate,81300.0,17,3,10,3,5,5,0,1,63,607,1241,1,Partner"
"677,Graduate,70337.0,75,1,2,2,12,1,0,0,47,178,576,0,Alone"
"678,Undergraduate,36145.0,13,4,4,1,3,9,0,1,41,378,172,1,Partner"
"679,Postgraduate,65295.0,19,1,3,3,13,2,0,0,46,188,664,0,Alone"
"680,Graduate,68118.0,51,2,8,9,4,6,0,0,63,254,928,1,Alone"
"681,Graduate,68743.0,81,1,11,5,13,7,0,0,59,668,2074,0,Alone"
"682,Undergraduate,41039.0,32,1,8,1,5,8,0,0,44,339,467,0,Partner"
"683,Graduate,38946.0,84,2,3,1,6,5,0,0,71,248,257,1,Partner"
"684,Graduate,65777.0,87,1,2,8,6,1,0,0,59,192,1146,0,Partner"
"685,Postgraduate,66476.0,99,2,5,2,11,4,0,0,50,479,689,1,Alone"
"686,Postgraduate,86857.0,96,1,5,6,10,2,0,1,54,655,2114,0,Alone"
"687,Postgraduate,160803.0,21,15,0,28,1,0,0,0,44,694,1717,0,Partner"
"688,Postgraduate,77845.0,40,1,3,5,12,1,0,0,37,44,1346,0,Partner"
"689,Postgraduate,69476.0,3,1,4,6,4,2,0,0,57,272,1044,0,Partner"
"690,Postgraduate,50611.0,98,6,4,5,7,6,0,1,66,633,493,1,Alone"
"691,Graduate,61209.0,73,1,5,3,4,2,0,0,56,308,957,0,Alone"
"692,Postgraduate,42315.0,90,3,1,4,4,3,0,0,68,352,270,1,Partner"
"693,Undergraduate,13084.0,29,1,1,0,3,6,0,0,74,239,29,0,Partner"
"694,Postgraduate,47570.0,3,3,2,2,2,7,0,1,77,396,121,2,Alone"
"695,Postgraduate,61923.0,94,1,2,1,4,3,0,0,65,338,126,2,Partner"
"696,Graduate,34824.0,65,1,1,0,2,6,0,0,31,95,23,0,Alone"
"697,Postgraduate,26518.0,33,3,2,0,3,8,0,1,77,447,57,2,Alone"
"698,Graduate,45938.0,46,2,8,4,6,6,0,0,65,238,636,0,Alone"
"699,Graduate,78468.0,29,1,10,7,10,4,0,0,66,81,1004,0,Partner"
"700,Graduate,78901.0,99,3,9,3,5,4,0,0,53,285,734,1,Alone"
"701,Graduate,71427.0,26,2,8,2,8,4,0,0,48,109,614,2,Partner"
"702,Graduate,71022.0,30,3,5,2,11,8,0,0,48,138,1453,1,Alone"
"703,Postgraduate,90247.0,27,1,3,4,7,1,0,1,38,61,1621,0,Alone"
"704,Postgraduate,41335.0,24,3,4,1,4,7,0,0,58,185,187,1,Alone"
"705,Graduate,71952.0,93,2,8,4,8,4,0,0,40,535,1443,1,Partner"
"706,Postgraduate,35682.0,34,1,1,1,3,2,0,0,56,2,57,1,Alone"
"707,Graduate,43185.0,88,2,9,3,6,8,0,0,75,445,637,1,Alone"
"708,Postgraduate,66375.0,96,3,2,4,5,7,0,0,78,220,948,1,Partner"
"709,Postgraduate,35178.0,10,1,1,1,2,7,0,1,55,535,59,1,Partner"
"710,Graduate,25252.0,26,1,1,0,2,8,0,0,40,352,18,1,Partner"
"711,Postgraduate,55250.0,49,4,7,5,10,5,0,0,61,616,903,1,Alone"
"712,Graduate,33249.0,11,2,2,1,3,6,0,0,51,494,112,1,Alone"
"713,Graduate,58398.0,44,3,5,4,8,4,0,0,73,411,596,0,Partner"
"714,Graduate,50272.0,75,3,4,1,5,7,0,0,44,326,233,1,Partner"
"715,Postgraduate,76618.0,64,1,3,2,5,1,0,0,51,569,1511,0,Partner"
"716,Undergraduate,87305.0,19,1,5,3,8,2,0,1,66,644,1152,0,Alone"
"717,Graduate,25851.0,45,2,2,0,3,7,0,0,48,503,48,1,Partner"
"718,Graduate,58710.0,77,6,11,5,9,6,0,0,56,455,1185,1,Alone"
"719,Graduate,45160.0,9,1,1,0,2,7,0,0,68,92,21,2,Alone"
"720,Postgraduate,74806.0,1,2,5,4,5,4,0,0,61,557,965,1,Partner"
"721,Graduate,59111.0,90,1,11,1,8,7,0,0,72,423,869,0,Partner"
"722,Postgraduate,18988.0,43,2,1,0,3,7,0,0,42,37,16,1,Partner"
"723,Graduate,72190.0,79,1,5,6,4,3,0,0,61,501,1947,0,Partner"
"724,Graduate,7500.0,19,5,4,1,2,9,0,1,50,697,71,1,Partner"
"725,Graduate,44794.0,99,1,2,0,3,6,0,0,60,21,65,1,Partner"
"726,Graduate,80395.0,62,1,6,5,12,2,0,0,71,218,1380,0,Partner"
"727,Postgraduate,75012.0,41,1,3,8,11,1,0,0,50,155,1027,0,Alone"
"728,Postgraduate,56962.0,60,7,6,3,5,7,0,0,61,261,411,3,Partner"
"729,Graduate,89891.0,17,1,11,6,8,4,0,0,35,440,836,0,Partner"
"730,Postgraduate,35946.0,24,1,0,0,3,5,0,0,77,275,11,2,Alone"
"731,Postgraduate,53593.0,60,8,7,2,6,8,0,0,73,691,480,2,Partner"
"732,Graduate,66373.0,57,7,4,2,10,3,0,0,48,382,606,2,Partner"
"733,Postgraduate,45072.0,74,5,6,1,4,8,0,0,78,256,284,3,Alone"
"734,Graduate,89694.0,22,3,4,3,4,5,0,0,53,263,1472,2,Alone"
"735,Graduate,72025.0,46,1,4,8,13,2,0,1,77,61,1677,0,Partner"
"736,Graduate,67432.0,69,2,8,5,4,4,0,0,53,457,1335,1,Partner"
"737,Postgraduate,70545.0,29,1,4,1,7,2,0,0,74,26,334,1,Partner"
"738,Undergraduate,17487.0,37,1,1,0,2,7,0,0,37,468,18,1,Partner"
"739,Graduate,62882.0,26,2,7,5,6,4,0,0,57,689,1338,1,Partner"
"740,Postgraduate,64108.0,8,4,6,9,11,5,0,0,73,463,1099,1,Alone"
"741,Postgraduate,34941.0,26,2,3,0,3,8,0,0,70,480,97,2,Partner"
"742,Postgraduate,48767.0,79,3,2,1,3,5,0,0,76,179,63,3,Alone"
"743,Undergraduate,38702.0,71,2,3,0,4,6,0,0,48,332,109,1,Partner"
"744,Graduate,82224.0,83,1,6,9,5,3,0,0,62,155,902,0,Partner"
"745,Graduate,83844.0,57,1,4,4,11,1,0,0,74,413,1574,0,Partner"
"746,Undergraduate,17003.0,37,3,2,0,4,5,0,0,51,202,38,1,Partner"
"747,Graduate,71163.0,30,1,3,8,12,1,0,0,31,112,960,0,Alone"
"748,Graduate,33697.0,34,1,1,0,2,7,0,0,56,287,28,1,Alone"
"749,Undergraduate,63564.0,0,1,10,10,7,6,0,1,72,151,1215,0,Partner"
"750,Postgraduate,83443.0,89,1,6,10,5,2,0,0,54,180,1497,0,Partner"
"751,Postgraduate,51518.0,92,2,3,2,10,3,0,0,68,269,449,1,Partner"
"752,Graduate,58330.0,87,1,6,4,13,4,0,0,51,186,1064,1,Alone"
"753,Graduate,80952.0,20,1,8,5,11,8,0,1,57,486,1757,0,Partner"
"754,Graduate,75507.0,56,1,8,6,6,3,0,0,47,58,1440,0,Partner"
"755,Undergraduate,63855.0,28,1,7,3,13,4,0,0,48,505,1006,0,Partner"
"756,Postgraduate,62220.0,55,5,7,6,5,6,0,1,54,687,1226,1,Partner"
"757,Graduate,58512.0,25,5,3,4,8,8,0,0,62,283,1171,1,Partner"
"758,Postgraduate,40662.0,0,2,2,1,3,4,0,0,47,471,92,1,Partner"
"759,Postgraduate,38829.0,86,1,3,2,2,5,0,0,67,84,99,1,Partner"
"760,Undergraduate,35523.0,8,2,3,0,3,7,0,0,45,269,66,1,Partner"
"761,Graduate,79146.0,33,2,8,1,8,6,0,0,59,66,564,2,Alone"
"762,Postgraduate,78285.0,13,1,6,4,10,3,0,0,38,244,1427,0,Partner"
"763,Postgraduate,31626.0,12,1,2,1,2,7,0,1,48,415,86,1,Alone"
"764,Graduate,75127.0,92,1,2,11,5,1,0,0,74,38,833,0,Alone"
"765,Graduate,48726.0,90,3,3,2,4,6,0,0,71,428,242,1,Partner"
"766,Graduate,74985.0,8,1,3,6,7,2,0,0,49,656,1869,0,Partner"
"767,Graduate,67430.0,6,1,11,5,12,6,0,0,39,662,1364,0,Partner"
"768,Undergraduate,46891.0,91,1,2,1,4,4,0,0,61,301,183,1,Partner"
"769,Postgraduate,62058.0,52,4,6,1,7,6,0,0,70,399,450,1,Partner"
"770,Graduate,72063.0,3,2,5,2,12,2,0,0,47,361,758,1,Partner"
"771,Postgraduate,78939.0,57,1,8,5,6,3,0,0,75,199,1507,0,Partner"
"772,Graduate,42720.0,9,8,7,3,7,8,0,1,61,431,654,2,Alone"
"773,Graduate,33622.0,22,3,2,0,4,7,0,0,54,442,81,2,Partner"
"774,Postgraduate,6835.0,76,0,0,0,1,20,0,0,69,568,137,1,Partner"
"775,Graduate,41452.0,86,1,1,0,2,7,0,0,73,480,16,2,Partner"
"776,Postgraduate,40760.0,64,2,2,1,3,6,0,0,61,303,93,1,Alone"
"777,Postgraduate,74250.0,90,1,2,11,4,1,0,0,68,154,1158,0,Partner"
"778,Postgraduate,51124.0,79,2,1,0,3,3,0,0,71,193,43,2,Alone"
"779,Graduate,72258.0,28,2,6,9,5,2,0,0,55,290,1525,1,Alone"
"780,Postgraduate,71466.0,86,1,4,4,10,1,0,0,52,85,1230,0,Alone"
"781,Graduate,36283.0,42,2,1,0,3,4,0,0,50,76,29,2,Partner"
"782,Graduate,20587.0,39,1,1,1,2,7,0,0,56,49,25,1,Alone"
"783,Graduate,30467.0,8,1,1,0,2,7,0,0,54,102,24,1,Partner"
"784,Graduate,31590.0,40,1,1,0,3,8,0,0,54,376,38,1,Partner"
"785,Undergraduate,20425.0,5,2,2,0,3,7,0,0,40,608,57,1,Partner"
"786,Postgraduate,17144.0,96,5,3,0,4,7,0,0,66,134,47,2,Partner"
"787,Postgraduate,42564.0,28,6,6,8,4,7,0,1,58,543,813,1,Alone"
"788,Postgraduate,43783.0,22,6,7,1,8,7,0,0,48,31,629,1,Partner"
"789,Graduate,40780.0,30,4,7,1,5,9,0,0,50,659,377,1,Alone"
"790,Postgraduate,62847.0,45,1,3,6,4,2,0,0,81,530,1612,0,Partner"
"791,Postgraduate,82017.0,58,1,5,4,7,2,0,1,69,599,729,0,Partner"
"792,Graduate,16813.0,49,1,2,0,3,7,0,0,76,345,50,0,Alone"
"793,Graduate,51267.0,37,4,3,3,5,4,0,0,48,243,270,2,Partner"
"794,Graduate,46524.0,70,2,1,1,5,3,0,0,65,450,177,1,Alone"
"795,Postgraduate,45183.0,33,1,4,1,7,7,0,0,64,525,315,0,Alone"
"796,Postgraduate,70421.0,98,3,10,3,7,6,0,0,72,1,767,1,Partner"
"797,Undergraduate,60161.0,17,3,11,4,8,8,0,0,61,614,1071,1,Alone"
"798,Graduate,73926.0,54,1,6,5,12,3,0,0,53,484,1580,0,Partner"
"799,Graduate,19329.0,39,3,4,0,3,8,0,0,58,197,60,1,Partner"
"800,Postgraduate,61872.0,81,4,4,4,9,4,0,0,56,198,573,1,Partner"
"801,Graduate,46984.0,71,1,1,0,3,5,0,0,70,460,41,2,Alone"
"802,Graduate,34838.0,62,3,2,1,4,6,0,0,75,526,170,2,Partner"
"803,Postgraduate,82716.0,8,1,6,8,13,2,0,0,82,236,1167,0,Alone"
"804,Graduate,48192.0,76,3,2,8,12,8,0,1,68,449,1526,0,Partner"
"805,Postgraduate,49681.0,66,6,7,1,7,7,0,0,50,237,458,2,Partner"
"806,Postgraduate,56850.0,83,1,1,1,3,2,0,0,55,98,63,1,Partner"
"807,Graduate,55267.0,28,4,3,4,6,3,0,0,69,251,405,1,Partner"
"808,Graduate,59666.0,87,7,3,2,8,8,0,0,54,464,1027,2,Partner"
"809,Graduate,72504.0,43,2,5,9,6,2,0,0,54,449,1478,1,Alone"
"810,Graduate,26872.0,0,1,1,1,2,6,0,0,45,256,72,0,Partner"
"811,Graduate,21359.0,1,2,2,0,3,8,0,1,54,435,48,1,Alone"
"812,Graduate,73170.0,1,1,5,4,6,2,0,0,51,29,726,0,Alone"
"813,Postgraduate,52750.0,72,6,5,7,9,4,0,0,71,510,860,1,Partner"
"814,Postgraduate,91820.0,72,0,5,5,12,1,0,0,40,218,1497,0,Partner"
"815,Postgraduate,65968.0,12,2,5,4,7,3,0,0,56,48,495,1,Partner"
"816,Graduate,30772.0,89,1,1,0,2,6,0,0,50,109,20,2,Partner"
"817,Graduate,22507.0,67,3,10,2,4,9,0,0,72,582,570,0,Alone"
"818,Graduate,65685.0,54,1,9,2,9,5,0,0,54,92,769,1,Partner"
"819,Undergraduate,25804.0,34,2,2,0,3,8,0,0,48,301,55,1,Partner"
"820,Postgraduate,76412.0,15,1,5,4,8,3,0,1,46,420,1808,0,Alone"
"821,Graduate,22063.0,43,2,2,0,3,7,0,0,54,325,55,1,Partner"
"822,Graduate,57091.0,0,1,7,3,7,5,0,1,65,14,577,0,Alone"
"823,Graduate,22419.0,74,1,3,2,2,8,0,0,63,437,162,0,Partner"
"824,Graduate,87771.0,61,1,5,10,4,6,0,1,67,403,1957,1,Partner"
"825,Undergraduate,78353.0,51,1,10,2,11,8,0,0,67,439,1576,1,Alone"
"826,Graduate,93404.0,97,3,3,4,7,5,0,0,72,418,1616,3,Partner"
"827,Graduate,37859.0,75,2,1,0,3,8,0,0,64,533,36,3,Alone"
"828,Postgraduate,80995.0,83,1,8,9,4,4,0,0,68,414,1482,1,Alone"
"829,Graduate,16529.0,23,1,1,0,3,6,0,0,42,120,22,1,Partner"
"830,Postgraduate,55412.0,65,1,2,0,3,5,0,0,50,219,63,2,Alone"
"831,Graduate,48789.0,94,1,6,4,7,6,0,0,34,657,680,0,Alone"
"832,Postgraduate,56575.0,42,3,7,3,7,5,0,0,59,420,542,2,Partner"
"833,Undergraduate,25130.0,10,2,2,0,3,7,0,0,46,270,50,1,Partner"
"834,Graduate,35441.0,94,2,1,0,3,8,0,0,59,500,39,2,Partner"
"835,Graduate,71391.0,50,5,6,5,12,3,0,0,70,457,1043,1,Partner"
"836,Postgraduate,49494.0,46,2,6,1,5,7,0,0,54,430,385,1,Alone"
"837,Graduate,81702.0,98,1,7,7,12,3,0,0,46,644,1633,0,Alone"
"838,Undergraduate,45889.0,42,1,1,0,3,6,0,0,46,362,46,1,Alone"
"839,Graduate,56628.0,30,2,7,6,5,5,0,0,49,100,761,1,Alone"
"840,Graduate,34026.0,11,3,2,1,3,5,0,0,76,328,76,2,Partner"
"841,Graduate,40049.0,61,3,3,2,6,5,0,0,52,577,290,1,Partner"
"842,Graduate,34176.0,12,4,3,0,4,6,0,0,38,48,89,1,Alone"
"843,Graduate,19419.0,76,4,4,0,3,9,0,0,45,596,70,1,Partner"
"844,Undergraduate,82504.0,2,1,3,6,7,1,0,0,66,337,1066,0,Partner"
"845,Graduate,81205.0,43,1,5,6,7,2,0,1,56,167,2009,0,Partner"
"846,Undergraduate,61618.0,27,2,3,6,8,3,0,0,35,638,1345,0,Alone"
"847,Postgraduate,55284.0,60,3,7,5,8,5,0,0,70,552,764,1,Alone"
"848,Graduate,49980.0,79,2,3,1,5,5,0,0,63,249,195,1,Alone"
"849,Graduate,15072.0,96,4,3,1,3,5,0,0,46,415,53,2,Partner"
"850,Graduate,49166.0,17,2,5,3,3,6,0,0,52,381,368,1,Alone"
"851,Postgraduate,65324.0,0,3,6,2,9,4,0,0,72,169,544,1,Partner"
"852,Undergraduate,82347.0,38,1,7,7,10,3,0,0,69,600,1853,0,Partner"
"853,Postgraduate,30843.0,43,2,1,1,2,5,0,0,60,34,35,2,Partner"
"854,Postgraduate,46374.0,1,3,7,1,7,8,0,1,52,104,446,1,Partner"
"855,Graduate,60474.0,25,7,10,2,12,7,0,0,47,454,1180,1,Alone"
"856,Postgraduate,38576.0,2,1,1,0,3,7,0,0,53,117,41,1,Partner"
"857,Graduate,55357.0,66,3,6,2,11,5,0,0,41,495,727,2,Partner"
"858,Graduate,37758.0,49,2,1,0,3,8,0,0,60,633,40,2,Partner"
"859,Undergraduate,85710.0,5,1,6,9,10,2,0,0,37,420,1062,0,Partner"
"860,Graduate,23228.0,71,2,2,0,3,8,0,0,57,154,40,1,Partner"
"861,Postgraduate,44602.0,35,6,6,1,4,8,0,0,57,134,292,2,Partner"
"862,Graduate,7500.0,94,1,0,0,3,6,0,0,39,536,15,0,Partner"
"863,Undergraduate,38683.0,80,6,4,1,6,7,0,0,37,633,341,1,Partner"
"864,Undergraduate,49514.0,61,2,6,1,4,7,0,0,51,194,369,1,Alone"
"865,Postgraduate,57906.0,29,3,4,2,8,4,0,0,53,383,401,1,Partner"
"866,Postgraduate,43456.0,0,3,5,1,8,5,0,0,60,460,393,1,Alone"
"867,Postgraduate,19485.0,80,1,1,0,2,7,0,0,40,278,10,2,Alone"
"868,Graduate,53172.0,54,3,2,3,8,3,0,0,48,419,486,1,Partner"
"869,Graduate,30545.0,71,2,2,0,3,7,0,0,47,620,69,1,Partner"
"870,Postgraduate,70123.0,27,1,5,7,4,3,0,0,43,274,1727,0,Partner"
"871,Graduate,62450.0,61,2,5,5,4,3,0,0,67,174,995,1,Alone"
"872,Graduate,21675.0,55,3,4,0,3,7,0,0,50,18,45,1,Partner"
"873,Undergraduate,42395.0,35,4,3,1,4,7,0,0,45,86,182,2,Alone"
"874,Postgraduate,61346.0,34,1,5,7,10,3,0,0,48,266,989,1,Partner"
"875,Graduate,80812.0,95,1,4,8,5,2,0,0,73,285,1677,0,Partner"
"876,Postgraduate,42835.0,64,7,6,6,4,6,0,0,55,364,595,2,Alone"
"877,Graduate,39922.0,30,2,3,0,4,8,0,0,43,500,156,1,Partner"
"878,Postgraduate,86424.0,12,1,6,9,12,1,0,0,70,85,1226,0,Alone"
"879,Undergraduate,17117.0,96,4,3,1,3,9,0,0,48,528,128,1,Partner"
"880,Graduate,24762.0,16,3,3,1,2,8,0,1,54,139,86,1,Alone"
"881,Graduate,35797.0,16,2,2,0,3,8,0,0,51,621,68,1,Partner"
"882,Graduate,36627.0,78,1,0,0,3,5,0,0,51,341,16,2,Alone"
"883,Undergraduate,51111.0,83,2,2,0,3,6,0,0,45,10,55,2,Partner"
"884,Postgraduate,86857.0,96,1,5,6,10,2,0,1,54,655,2114,0,Alone"
"885,Postgraduate,82072.0,67,1,3,2,13,1,0,0,56,362,2018,0,Partner"
"886,Postgraduate,46231.0,87,4,6,1,4,9,0,0,73,580,263,3,Alone"
"887,Graduate,42243.0,34,2,2,0,3,7,0,0,67,200,55,2,Partner"
"888,Graduate,51195.0,46,8,9,2,5,8,0,0,64,454,564,2,Partner"
"889,Postgraduate,68092.0,7,2,2,6,10,5,0,0,48,195,1281,0,Alone"
"890,Graduate,31814.0,73,2,2,0,3,9,0,0,53,505,83,1,Partner"
"891,Postgraduate,51390.0,54,6,5,2,5,5,0,0,61,659,353,2,Alone"
"892,Graduate,76630.0,93,1,3,10,11,1,0,0,43,166,1003,0,Partner"
"893,Undergraduate,26868.0,52,1,1,0,2,7,0,0,35,60,14,1,Alone"
"894,Postgraduate,48948.0,53,2,7,10,5,6,0,1,83,513,902,0,Alone"
"895,Postgraduate,55260.0,81,2,8,10,5,6,0,0,54,564,1139,1,Alone"
"896,Graduate,64090.0,8,1,6,9,4,5,0,1,70,326,797,1,Partner"
"897,Graduate,78331.0,97,2,10,6,7,4,0,0,68,157,1638,1,Alone"
"898,Postgraduate,37087.0,50,3,4,2,8,6,0,0,52,322,401,1,Partner"
"899,Graduate,21846.0,38,4,4,0,3,8,0,0,40,250,84,1,Alone"
"900,Graduate,81320.0,61,1,4,3,10,2,0,0,68,508,928,0,Partner"
"901,Graduate,54137.0,46,2,4,1,4,6,0,0,56,317,203,1,Alone"
"902,Graduate,66825.0,73,1,4,5,6,2,0,0,59,350,858,0,Partner"
"903,Graduate,57100.0,19,1,3,3,6,3,0,0,53,207,409,0,Partner"
"904,Graduate,58917.0,10,5,4,1,6,5,0,0,57,462,282,3,Partner"
"905,Graduate,85072.0,94,1,3,4,10,0,0,0,49,81,1423,0,Alone"
"906,Graduate,86429.0,10,0,7,4,7,2,0,1,65,220,1449,0,Alone"
"907,Graduate,45684.0,37,1,1,0,2,7,0,0,55,209,28,1,Alone"
"908,Graduate,47889.0,94,1,2,0,3,5,0,0,52,176,67,1,Partner"
"909,Postgraduate,45921.0,23,1,2,1,6,4,0,0,40,111,199,0,Partner"
"910,Postgraduate,78420.0,75,1,3,10,8,1,0,0,60,365,1453,0,Alone"
"911,Graduate,75114.0,40,1,3,10,5,2,0,0,34,234,1253,0,Partner"
"912,Postgraduate,52278.0,24,6,10,5,10,8,0,1,63,520,1198,1,Alone"
"913,Postgraduate,35641.0,11,2,3,1,4,7,0,1,54,350,178,1,Partner"
"914,Graduate,95529.0,29,1,7,3,7,3,0,1,32,573,1990,0,Alone"
"915,Graduate,62820.0,51,1,3,4,6,1,0,0,72,414,976,0,Partner"
"916,Postgraduate,73113.0,86,1,3,4,7,2,0,0,66,185,1001,0,Partner"
"917,Postgraduate,84169.0,9,1,7,6,6,3,0,1,44,326,1919,0,Partner"
"918,Undergraduate,42607.0,30,2,3,2,7,3,0,0,72,224,350,1,Alone"
"919,Postgraduate,74637.0,73,1,6,9,9,3,0,0,72,407,1650,0,Alone"
"920,Postgraduate,46015.0,25,1,1,0,3,7,0,0,71,77,46,2,Partner"
"921,Graduate,72354.0,67,1,2,10,6,1,0,0,33,438,1228,0,Alone"
"922,Postgraduate,39858.0,67,1,2,0,4,6,0,1,57,521,95,1,Alone"
"923,Postgraduate,34469.0,58,3,1,1,4,4,0,0,78,56,62,2,Partner"
"924,Graduate,83033.0,82,1,11,4,10,5,0,0,40,42,1761,1,Partner"
"925,Postgraduate,24401.0,98,3,6,1,6,8,0,0,47,667,467,0,Partner"
"926,Graduate,77583.0,93,1,4,5,9,2,0,0,48,139,1149,0,Partner"
"927,Undergraduate,74116.0,53,1,4,4,10,2,0,0,44,181,2052,0,Alone"
"928,Graduate,74293.0,66,1,5,4,6,2,0,0,33,56,1127,0,Alone"
"929,Postgraduate,68397.0,6,1,6,9,5,3,0,0,50,224,1416,1,Partner"
"930,Postgraduate,79632.0,42,1,6,4,9,2,0,0,52,82,1113,0,Partner"
"931,Graduate,46107.0,78,1,1,1,4,3,0,0,37,139,125,1,Alone"
"932,Postgraduate,64950.0,29,2,11,2,10,7,0,0,75,686,966,1,Alone"
"933,Undergraduate,25443.0,82,1,1,0,3,8,0,0,37,554,32,1,Partner"
"934,Graduate,75127.0,92,1,2,11,5,1,0,0,74,38,833,0,Alone"
"935,Postgraduate,32892.0,78,2,3,0,3,8,0,0,55,35,46,1,Partner"
"936,Graduate,71796.0,54,1,9,3,4,4,0,0,55,248,960,0,Partner"
"937,Postgraduate,67536.0,45,3,11,5,11,8,0,0,56,403,1829,1,Partner"
"938,Graduate,55239.0,59,3,7,5,11,5,0,0,55,350,779,1,Alone"
"939,Postgraduate,60554.0,8,2,8,4,9,6,0,0,51,324,811,1,Alone"
"940,Undergraduate,64831.0,51,8,6,3,5,6,0,0,74,384,1120,2,Alone"
"941,Postgraduate,56067.0,51,2,7,4,7,5,0,0,64,344,725,1,Partner"
"942,Graduate,82025.0,76,1,3,2,6,1,0,1,43,397,1187,0,Alone"
"943,Graduate,94384.0,62,0,5,8,5,2,0,1,73,482,2302,0,Partner"
"944,Undergraduate,14906.0,86,3,2,1,3,7,0,0,40,554,66,0,Alone"
"945,Postgraduate,51563.0,60,1,4,4,10,8,0,0,39,636,1250,0,Partner"
"946,Undergraduate,57937.0,56,3,4,4,9,3,0,0,44,133,683,1,Partner"
"947,Graduate,68274.0,83,2,4,2,5,3,0,0,47,272,305,2,Alone"
"948,Graduate,39771.0,92,1,2,0,3,4,0,0,49,205,50,1,Partner"
"949,Undergraduate,67893.0,31,2,3,2,9,8,0,0,51,636,995,1,Alone"
"950,Postgraduate,27922.0,80,1,2,0,3,4,0,0,47,50,41,1,Partner"
"951,Postgraduate,52190.0,39,3,2,1,3,5,0,0,50,52,77,2,Partner"
"952,Postgraduate,44051.0,20,4,3,1,4,6,0,1,53,516,171,2,Alone"
"953,Postgraduate,42767.0,53,1,3,1,2,8,0,0,55,414,131,2,Alone"
"954,Postgraduate,46106.0,84,1,1,1,2,6,0,0,50,49,54,2,Partner"
"955,Postgraduate,16927.0,50,5,3,0,4,8,0,0,50,504,53,2,Partner"
"956,Graduate,59754.0,96,3,5,2,6,5,0,1,61,575,475,1,Partner"
"957,Graduate,53700.0,94,4,5,5,8,5,0,0,74,681,694,1,Alone"
"958,Graduate,59041.0,25,2,2,0,4,5,0,0,53,53,96,2,Partner"
"959,Postgraduate,54237.0,48,4,5,2,5,6,0,0,69,428,361,1,Alone"
"960,Graduate,70647.0,65,2,4,7,13,2,0,0,59,646,1079,1,Alone"
"961,Postgraduate,52597.0,69,3,6,3,8,5,0,0,64,53,578,1,Alone"
